Price,Close,High,Low,Open,Volume
Ticker,PGSUS.IS,PGSUS.IS,PGSUS.IS,PGSUS.IS,PGSUS.IS
Date,,,,,
2024-05-29,204.60000610351562,212.5,204.60000610351562,209.5,5519275
2024-05-30,206.3000030517578,208.8000030517578,203.3000030517578,205.1999969482422,6313396
2024-05-31,201.8000030517578,210.5,199.8000030517578,207.0,9333091
2024-06-03,210.39999389648438,210.60000610351562,202.8000030517578,204.10000610351562,9238356
2024-06-04,209.3000030517578,215.5,208.3000030517578,212.0,9793367
2024-06-05,210.0,210.89999389648438,202.3000030517578,209.39999389648438,8554552
2024-06-06,205.3000030517578,212.39999389648438,204.5,212.3000030517578,5480105
2024-06-07,205.6999969482422,206.8000030517578,202.89999389648438,206.0,5137212
2024-06-10,198.39999389648438,204.6999969482422,198.10000610351562,204.6999969482422,5709521
2024-06-11,210.0,214.5,200.6999969482422,200.6999969482422,17745594
2024-06-12,226.0,229.0,208.0,209.60000610351562,22744238
2024-06-13,228.8000030517578,230.89999389648438,224.3000030517578,229.89999389648438,13625501
2024-06-14,230.3000030517578,237.89999389648438,229.89999389648438,232.5,13552384
2024-06-20,233.1999969482422,236.6999969482422,230.10000610351562,234.89999389648438,7064080
2024-06-21,238.0,239.89999389648438,230.60000610351562,233.1999969482422,10660824
2024-06-24,236.89999389648438,239.0,232.60000610351562,238.1999969482422,6510431
2024-06-25,235.39999389648438,238.5,231.39999389648438,237.0,7130631
2024-06-26,226.5,236.5,226.5,235.5,8160944
2024-06-27,227.6999969482422,230.39999389648438,225.1999969482422,227.10000610351562,6846744
2024-06-28,227.89999389648438,229.6999969482422,223.39999389648438,228.8000030517578,8109373
2024-07-01,219.1999969482422,230.10000610351562,217.10000610351562,230.10000610351562,7162998
2024-07-02,219.60000610351562,220.3000030517578,215.89999389648438,218.89999389648438,5440810
2024-07-03,224.3000030517578,226.60000610351562,218.3000030517578,220.0,7255767
2024-07-04,229.8000030517578,230.0,223.39999389648438,224.89999389648438,8101925
2024-07-05,232.5,233.60000610351562,228.8000030517578,231.0,7918697
